District,SqmPrice
Kaartinkaupunki,9986
Kaivopuisto,9633
Eira,9197
Punavuori,8856
Ruoholahti,8449
Kalasatama,8417
Jätkäsaari,8391
Etu-Töölö,8188
Kruununhaka,8035
Keski-Töölö,7903
Katajanokka,7658
Taka-Töölö,7443
Etu-Vallila,7257
Vattuniemi,7114
Lauttasaari,7101
Sörnäinen,7098
Kallio,7051
Munkkiniemi,6809
Vallila,6755
Ruskeasuo,6597
Pohjois-Meilahti,6549
Toukola-Vanhakaupunki,6491
Kulosaari,6333
Itä-Pasila,6282
Käpylä,6173
Etelä-Haaga,6042
Verkkosaari,5722
Pitäjänmäen teollisuusalue,5716
Länsi-Pasila,5699
Munkkivuori-Niemenmäki,5662
Pikku Huopalahti,5656
Kaitalahti,5442
Herttoniemi,5391
Länsi-Herttoniemi,5343
Aurinkolahti,5115
Pajamäki,4979
Pohjois-Haaga,4899
Jollas,4769
Länsi-Pakila,4768
Viikki,4766
Kivihaka,4690
Kuusisaari-Lehtisaari,4548
Roihuvuori,4460
Itä-Pakila,4245
Lassila,4222
Oulunkylä-Patola,4174
Paloheinä,4096
Vartioharju,4040
Maununneva,3994
Maunula-Suursuo,3849
Konala,3849
Laajasalo,3823
Tapanila,3795
Metsälä-Etelä-Oulunkylä,3793
Puotila,3696
Tammisalo,3538
Kannelmäki,3516
Pukinmäki-Savela,3418
Reimarla,3340
Etelä-Laajasalo,3298
Tapaninvainio,3236
Malminkartano,3230
Malmi,3208
Etelä-Vuosaari,3196
Pohjois-Vuosaari,3146
Puotinharju,3133
Suurmetsä,3121
Koskela-Helsinki,3049
Tuomarinkylä-Torpparinmäki,3030
Myllypuro,3026
Pihlajamäki,3002
Itäkeskus-Marjaniemi,2884
Veräjämäki,2829
Puistola,2800
Siltamäki,2658
Kontula,2601
Mellunkylä,2512
Jakomäki,2091
